game_id,timestamp,green_engine,green_level,yellow_engine,yellow_level,ruleset_bits,first_player,winner,duration_s,status
g_1779626777863_14135,2026-05-24T14:47:21+02:00,negamontecarlo,10,negamontecarlo,0,1,yellow,green,64,ok
g_1779626777858_14100,2026-05-24T14:47:21+02:00,negamontecarlo,10,negamontecarlo,0,0,yellow,green,64,ok
g_1779626053406_7803,2026-05-24T14:47:28+02:00,negamontecarlo,10,negamontecarlo,0,1,unknown,green,795,ok
g_1779626419800_12229,2026-05-24T14:47:35+02:00,negamontecarlo,10,negamontecarlo,0,2,unknown,green,436,ok
g_1779626777863_14157,2026-05-24T14:47:36+02:00,negamontecarlo,10,negamontecarlo,0,1,green,green,79,ok
g_1779626777860_14103,2026-05-24T14:47:36+02:00,negamontecarlo,10,negamontecarlo,0,0,green,green,79,ok
g_1779626777858_14097,2026-05-24T14:47:36+02:00,negamontecarlo,10,negamontecarlo,0,0,green,green,79,ok
g_1779626777857_14092,2026-05-24T14:47:36+02:00,negamontecarlo,10,negamontecarlo,0,0,green,green,79,ok
g_1779626777857_14094,2026-05-24T14:47:52+02:00,negamontecarlo,10,negamontecarlo,0,0,green,green,95,ok
g_1779626777857_14088,2026-05-24T14:47:52+02:00,negamontecarlo,10,negamontecarlo,0,0,green,green,95,ok
g_1779626777861_14112,2026-05-24T14:47:52+02:00,negamontecarlo,10,negamontecarlo,0,0,yellow,green,95,ok
g_1779626777864_14127,2026-05-24T14:47:52+02:00,negamontecarlo,10,negamontecarlo,0,1,yellow,green,95,ok
g_1779626777865_14178,2026-05-24T14:48:07+02:00,negamontecarlo,10,negamontecarlo,0,1,green,green,110,ok
g_1779626777860_14123,2026-05-24T14:48:23+02:00,negamontecarlo,10,negamontecarlo,0,0,yellow,green,126,ok
g_1779626777864_14162,2026-05-24T14:48:38+02:00,negamontecarlo,10,negamontecarlo,0,1,green,green,141,ok
g_1779626777861_14108,2026-05-24T14:48:54+02:00,negamontecarlo,10,negamontecarlo,0,0,green,green,157,ok
g_1779626777861_14115,2026-05-24T14:49:10+02:00,negamontecarlo,10,negamontecarlo,0,0,green,green,173,ok
g_1779626872263_15348,2026-05-24T14:49:26+02:00,negamontecarlo,10,negamontecarlo,0,2,green,green,94,ok
g_1779626872262_15352,2026-05-24T14:49:26+02:00,negamontecarlo,10,negamontecarlo,0,2,yellow,green,94,ok
g_1779626872263_15357,2026-05-24T14:49:26+02:00,negamontecarlo,10,negamontecarlo,0,2,yellow,green,94,ok
g_1779626872268_15340,2026-05-24T14:49:42+02:00,negamontecarlo,10,negamontecarlo,0,1,green,green,110,ok
g_1779626872264_15343,2026-05-24T14:49:58+02:00,negamontecarlo,10,negamontecarlo,0,1,yellow,green,126,ok
g_1779626934631_15912,2026-05-24T14:49:58+02:00,negamontecarlo,10,negamontecarlo,0,2,yellow,green,64,ok
g_1779626872263_15346,2026-05-24T14:50:44+02:00,negamontecarlo,10,negamontecarlo,0,1,green,green,172,ok
g_1779626777862_14149,2026-05-24T14:51:00+02:00,negamontecarlo,10,negamontecarlo,0,1,yellow,green,283,ok
g_1779626950883_16208,2026-05-24T14:51:16+02:00,negamontecarlo,10,negamontecarlo,0,3,green,green,126,ok
g_1779626934634_15915,2026-05-24T14:51:31+02:00,negamontecarlo,10,negamontecarlo,0,2,green,green,157,ok
g_1779626934632_15901,2026-05-24T14:51:31+02:00,negamontecarlo,10,negamontecarlo,0,2,yellow,green,157,ok
g_1779626934631_15904,2026-05-24T14:51:46+02:00,negamontecarlo,10,negamontecarlo,0,2,green,green,172,ok
g_1779626872262_15337,2026-05-24T14:51:46+02:00,negamontecarlo,10,negamontecarlo,0,1,yellow,green,234,ok
g_1779627060385_16481,2026-05-24T14:52:34+02:00,negamontecarlo,10,negamontecarlo,0,3,green,green,94,ok
g_1779627060385_16489,2026-05-24T14:52:35+02:00,negamontecarlo,10,negamontecarlo,0,3,green,green,95,ok
g_1779627060387_16487,2026-05-24T14:52:35+02:00,negamontecarlo,10,negamontecarlo,0,3,green,green,95,ok
g_1779626934631_15911,2026-05-24T14:52:48+02:00,negamontecarlo,10,negamontecarlo,0,2,green,green,234,ok
g_1779627060388_16478,2026-05-24T14:52:50+02:00,negamontecarlo,10,negamontecarlo,0,3,green,green,110,ok
g_1779627060386_16484,2026-05-24T14:53:21+02:00,negamontecarlo,10,negamontecarlo,0,3,green,green,141,ok
g_1779627060387_16498,2026-05-24T14:53:21+02:00,negamontecarlo,10,negamontecarlo,0,3,green,green,141,ok
g_1779627106987_17004,2026-05-24T14:53:36+02:00,negamontecarlo,10,negamontecarlo,0,4,green,green,110,ok
